,Replication_ID,Ratio,Best_K,MAE,RMSE,R2
3998,444,0.4,8,34753.512440441846,61863.03008151948,0.8321131269863762
3999,444,0.6,8,33053.97255575678,59090.462300923566,0.8468245589834211
4000,444,0.8,6,33049.758270296596,60630.342600675685,0.8387371211592397
4001,444,0.85,7,33793.53279488464,62013.87217235035,0.8312934037537598
4002,444,0.9,6,34910.18868459093,65436.32294889252,0.8121582445796394
4003,444,0.95,5,36815.31940087707,70169.91471756717,0.7839987515427712
4004,444,1.0,8,43394.751824909275,81610.53278354087,0.707822485620735
4005,445,0.0,19,51677.19131789959,79948.33643800335,0.7030892884747181
4006,445,0.2,12,38463.8787756004,64743.825450789416,0.8052830689383264
4007,445,0.4,9,34613.52400357298,60366.85326013471,0.8307206125035652
4008,445,0.6,7,33155.565414429875,58981.91861704333,0.8383987208518202
4009,445,0.8,6,32468.802155936184,59882.23557962511,0.8334276112327197
4010,445,0.85,6,32762.56612666446,60807.943516184234,0.828237783745692
4011,445,0.9,4,33627.486373227715,61390.853701183005,0.8249289451883727
4012,445,0.95,5,35535.455336389154,66511.41924528603,0.7945058641069704
4013,445,1.0,6,41696.90220986399,78601.1080170931,0.7130116024087354
4014,446,0.0,16,52814.80616047516,86237.01770535896,0.7005102942379751
4015,446,0.2,5,39164.76134342146,69021.41281528537,0.8081498556072605
4016,446,0.4,5,35114.85781004301,64898.429113856204,0.8303855648745098
4017,446,0.6,6,32872.244806578354,62787.69154644144,0.8412391289208627
4018,446,0.8,4,32638.23284007033,62095.21953587247,0.8447216975118712
4019,446,0.85,4,33408.84918513042,64251.54204965705,0.8337500392202554
4020,446,0.9,5,35053.62274635822,67814.58656982705,0.8148001298619022
4021,446,0.95,4,37679.48998626311,72997.03010210756,0.7854123008448446
4022,446,1.0,7,45672.52826623637,89356.11990699204,0.6784540488263634
4023,447,0.0,15,55259.29257849452,91707.79511894069,0.6860638770192031
4024,447,0.2,12,41611.88812666416,78047.4753160696,0.7726230144525306
4025,447,0.4,6,37456.36065026616,73373.64697783542,0.7990402886900332
4026,447,0.6,7,35195.24004322223,69905.06342572186,0.8175910873019335
4027,447,0.8,4,35140.788652787676,69663.38525253032,0.818850167713159
4028,447,0.85,4,35678.32524171796,70434.2087061611,0.8148191529980529
4029,447,0.9,4,36908.101729670234,72930.4619775113,0.8014605951674554
4030,447,0.95,5,39608.083493794235,79956.81807589717,0.7613618947951428
4031,447,1.0,7,46031.458261606516,91945.54474569978,0.684434027679196
